"","data","response","year","deliv_annual","demand_annual","request_annual","shortage_demand","shortage_request"
"1","paleo","Base",1429,44190.33416554,52989.6,45432.6,8799.26583446,1242.26583446
"2","paleo","Base",1430,620040.973385,690783.8,622083.8,70742.826615,2042.826615
"3","paleo","Base",1431,619132.680446,690783.8,622083.8,71651.119554,2951.119554
"4","paleo","Base",1432,614404.9580763,690783.8,622083.8,76378.8419237,7678.8419237
"5","paleo","Base",1433,618307.6083648,690783.8,622083.8,72476.1916352,3776.19163520001
"6","paleo","Base",1434,613067.0522546,690783.8,622083.8,77716.7477454,9016.7477454
"7","paleo","Base",1435,613590.3837558,690783.8,622083.8,77193.4162442,8493.41624420001
"8","paleo","Base",1436,617362.7910396,690783.8,622083.8,73421.0089604,4721.00896039999
"9","paleo","Base",1437,608504.5869312,690783.8,622083.8,82279.2130688,13579.2130688
"10","paleo","Base",1438,609925.691275,690783.8,622083.8,80858.108725,12158.108725
"11","paleo","Base",1439,606016.0341491,690783.8,622083.8,84767.7658509,16067.7658509
"12","paleo","Base",1440,620691.451811,690783.8,622083.8,70092.348189,1392.348189
"13","paleo","Base",1441,621100.227038,690783.8,622083.8,69683.572962,983.572962000006
"14","paleo","Base",1442,618762.096677,690783.8,622083.8,72021.703323,3321.70332300001
"15","paleo","Base",1443,619711.303508,690783.8,622083.8,71072.496492,2372.49649200001
"16","paleo","Base",1444,617810.072747,690783.8,622083.8,72973.727253,4273.727253
"17","paleo","Base",1445,611101.6280544,690783.8,622083.8,79682.1719456,10982.1719456
"18","paleo","Base",1446,619187.997089,690783.8,622083.8,71595.802911,2895.80291099999
"19","paleo","Base",1447,618555.233967,690783.8,622083.8,72228.566033,3528.566033
"20","paleo","Base",1448,613888.888472,690783.8,622083.8,76894.911528,8194.91152800001
"21","paleo","Base",1449,618554.763794,690783.8,622083.8,72229.036206,3529.036206
"22","paleo","Base",1450,618586.89703562,690783.8,622083.8,72196.90296438,3496.90296438
"23","paleo","Base",1451,621291.485182,690783.8,622083.8,69492.314818,792.314817999999
"24","paleo","Base",1452,620704.119542,690783.8,622083.8,70079.680458,1379.680458
"25","paleo","Base",1453,620008.836388,690783.8,622083.8,70774.963612,2074.96361200001
"26","paleo","Base",1454,620149.055321,690783.8,622083.8,70634.744679,1934.744679
"27","paleo","Base",1455,619884.791315,690783.8,622083.8,70899.008685,2199.00868499999
"28","paleo","Base",1456,601672.9423083,690783.8,622083.8,89110.8576917,20410.8576917
"29","paleo","Base",1457,617931.5057344,690783.8,622083.8,72852.2942656,4152.2942656
"30","paleo","Base",1458,610820.4416612,690783.8,622083.8,79963.3583388,11263.3583388
"31","paleo","Base",1459,604493.0324367,690783.8,622083.8,86290.7675633,17590.7675633
"32","paleo","Base",1460,605738.7449767,690783.8,622083.8,85045.0550233,16345.0550233
"33","paleo","Base",1461,610374.58008028,690783.8,622083.8,80409.21991972,11709.21991972
"34","paleo","Base",1462,620209.48604,690783.8,622083.8,70574.31396,1874.31396
"35","paleo","Base",1463,621377.813102,690783.8,622083.8,69405.986898,705.986898000003
"36","paleo","Base",1464,618478.57747,690783.8,622083.8,72305.22253,3605.22253
"37","paleo","Base",1465,609424.9452733,690783.8,622083.8,81358.8547267,12658.8547267
"38","paleo","Base",1466,619558.015869,690783.8,622083.8,71225.784131,2525.78413100001
"39","paleo","Base",1467,619846.885759,690783.8,622083.8,70936.914241,2236.91424100001
"40","paleo","Base",1468,618320.344972,690783.8,622083.8,72463.455028,3763.455028
"41","paleo","Base",1469,619066.49318,690783.8,622083.8,71717.30682,3017.30682
"42","paleo","Base",1470,618548.220024,690783.8,622083.8,72235.579976,3535.57997600001
"43","paleo","Base",1471,615743.2862596,690783.8,622083.8,75040.5137404,6340.5137404
"44","paleo","Base",1472,613336.4503417,690783.8,622083.8,77447.3496583,8747.34965829999
"45","paleo","Base",1473,610633.6752975,690783.8,622083.8,80150.1247025,11450.1247025
"46","paleo","Base",1474,607644.6164712,690783.8,622083.8,83139.1835288,14439.1835288
"47","paleo","Base",1475,604538.073421,690783.8,622083.8,86245.726579,17545.726579
"48","paleo","Base",1476,618649.3817903,690783.8,622083.8,72134.4182097,3434.4182097
"49","paleo","Base",1477,619380.500526,690783.8,622083.8,71403.299474,2703.299474
"50","paleo","Base",1478,619909.81957,690783.8,622083.8,70873.98043,2173.98043
"51","paleo","Base",1479,613306.905021,690783.8,622083.8,77476.894979,8776.894979
"52","paleo","Base",1480,612776.2232295,690783.8,622083.8,78007.5767705,9307.5767705
"53","paleo","Base",1481,618608.73605,690783.8,622083.8,72175.06395,3475.06395
"54","paleo","Base",1482,619284.606366,690783.8,622083.8,71499.193634,2799.193634
"55","paleo","Base",1483,620433.966903,690783.8,622083.8,70349.833097,1649.833097
"56","paleo","Base",1484,621864.141513,690783.8,622083.8,68919.658487,219.658486999993
"57","paleo","Base",1485,618002.755352,690783.8,622083.8,72781.044648,4081.04464800001
"58","paleo","Base",1486,622078.706155,690783.8,622083.8,68705.093845,5.09384499999578
"59","paleo","Base",1487,619137.129678,690783.8,622083.8,71646.670322,2946.67032200001
"60","paleo","Base",1488,619995.296704,690783.8,622083.8,70788.503296,2088.50329600001
"61","paleo","Base",1489,619008.304503,690783.8,622083.8,71775.495497,3075.495497
"62","paleo","Base",1490,621868.887806,690783.8,622083.8,68914.912194,214.912194000004
"63","paleo","Base",1491,620420.262694,690783.8,622083.8,70363.537306,1663.537306
"64","paleo","Base",1492,619046.2324173,690783.8,622083.8,71737.5675827,3037.5675827
"65","paleo","Base",1493,617959.7397929,690783.8,622083.8,72824.0602071,4124.0602071
"66","paleo","Base",1494,619444.7565344,690783.8,622083.8,71339.0434656,2639.04346559999
"67","paleo","Base",1495,606579.754583,690783.8,622083.8,84204.045417,15504.045417
"68","paleo","Base",1496,605624.7640238,690783.8,622083.8,85159.0359762,16459.0359762
"69","paleo","Base",1497,613218.90268206,690783.8,622083.8,77564.89731794,8864.89731793999
"70","paleo","Base",1498,617250.9181635,690783.8,622083.8,73532.8818365,4832.8818365
"71","paleo","Base",1499,594921.3358655,690783.8,622083.8,95862.4641345,27162.4641345
"72","paleo","Base",1500,588450.3454983,690783.8,622083.8,102333.4545017,33633.4545017
"73","paleo","Base",1501,615416.86506658,690783.8,622083.8,75366.93493342,6666.93493341999
"74","paleo","Base",1502,617363.587596,690783.8,622083.8,73420.212404,4720.21240399999
"75","paleo","Base",1503,615451.121939,690783.8,622083.8,75332.678061,6632.678061
"76","paleo","Base",1504,616108.779179,690783.8,622083.8,74675.020821,5975.020821
"77","paleo","Base",1505,587167.4336505,690783.8,622083.8,103616.3663495,34916.3663495
"78","paleo","Base",1506,590416.2109593,690783.8,622083.8,100367.5890407,31667.5890407
"79","paleo","Base",1507,617753.2320062,690783.8,622083.8,73030.5679938,4330.56799380001
"80","paleo","Base",1508,619305.244295,690783.8,622083.8,71478.555705,2778.55570500001
"81","paleo","Base",1509,620566.539248,690783.8,622083.8,70217.260752,1517.260752
"82","paleo","Base",1510,602069.0949602,690783.8,622083.8,88714.7050398,20014.7050398
"83","paleo","Base",1511,608990.325161,690783.8,622083.8,81793.474839,13093.474839
"84","paleo","Base",1512,616535.741215,690783.8,622083.8,74248.058785,5548.058785
"85","paleo","Base",1513,617980.255971,690783.8,622083.8,72803.544029,4103.544029
"86","paleo","Base",1514,619772.699858,690783.8,622083.8,71011.100142,2311.100142
"87","paleo","Base",1515,612722.34575824,690783.8,622083.8,78061.45424176,9361.45424175999
"88","paleo","Base",1516,619964.423504,690783.8,622083.8,70819.376496,2119.376496
"89","paleo","Base",1517,617205.1732253,690783.8,622083.8,73578.6267747,4878.6267747
"90","paleo","Base",1518,602469.565856,690783.8,622083.8,88314.234144,19614.234144
"91","paleo","Base",1519,620677.960193,690783.8,622083.8,70105.839807,1405.839807
"92","paleo","Base",1520,608259.65368626,690783.8,622083.8,82524.14631374,13824.14631374
"93","paleo","Base",1521,619588.788415,690783.8,622083.8,71195.011585,2495.011585
"94","paleo","Base",1522,613940.9868183,690783.8,622083.8,76842.8131817,8142.8131817
"95","paleo","Base",1523,620347.472107,690783.8,622083.8,70436.327893,1736.32789299999
"96","paleo","Base",1524,622078.256226,690783.8,622083.8,68705.543774,5.54377400000521
"97","paleo","Base",1525,621682.599196,690783.8,622083.8,69101.200804,401.200803999993
"98","paleo","Base",1526,621397.85776,690783.8,622083.8,69385.94224,685.942240000004
"99","paleo","Base",1527,620393.673317,690783.8,622083.8,70390.126683,1690.12668299999
"100","paleo","Base",1528,617946.125699,690783.8,622083.8,72837.674301,4137.67430100001
"101","paleo","Base",1529,605570.7003436,690783.8,622083.8,85213.0996564,16513.0996564
"102","paleo","Base",1530,608072.594441,690783.8,622083.8,82711.205559,14011.205559
"103","paleo","Base",1531,606664.37244,690783.8,622083.8,84119.42756,15419.42756
"104","paleo","Base",1532,577994.8607314,690783.8,622083.8,112788.9392686,44088.9392686
"105","paleo","Base",1533,616474.87618,690783.8,622083.8,74308.92382,5608.92382000001
"106","paleo","Base",1534,615662.865984,690783.8,622083.8,75120.934016,6420.934016
"107","paleo","Base",1535,617959.665832,690783.8,622083.8,72824.134168,4124.13416799999
"108","paleo","Base",1536,620892.775596,690783.8,622083.8,69891.024404,1191.024404
"109","paleo","Base",1537,618654.962959,690783.8,622083.8,72128.837041,3428.83704100001
"110","paleo","Base",1538,619275.767288,690783.8,622083.8,71508.032712,2808.032712
"111","paleo","Base",1539,616719.6451014,690783.8,622083.8,74064.1548986,5364.15489860001
"112","paleo","Base",1540,612504.4197314,690783.8,622083.8,78279.3802686,9579.38026859999
"113","paleo","Base",1541,611093.245188,690783.8,622083.8,79690.554812,10990.554812
"114","paleo","Base",1542,606882.404989,690783.8,622083.8,83901.395011,15201.395011
"115","paleo","Base",1543,606624.6691313,690783.8,622083.8,84159.1308687,15459.1308687
"116","paleo","Base",1544,611561.236009,690783.8,622083.8,79222.563991,10522.563991
"117","paleo","Base",1545,602526.3909179,690783.8,622083.8,88257.4090821,19557.4090821
"118","paleo","Base",1546,619320.1000442,690783.8,622083.8,71463.6999558,2763.6999558
"119","paleo","Base",1547,609777.541734,690783.8,622083.8,81006.258266,12306.258266
"120","paleo","Base",1548,618591.202109,690783.8,622083.8,72192.597891,3492.597891
"121","paleo","Base",1549,620877.299335,690783.8,622083.8,69906.500665,1206.500665
"122","paleo","Base",1550,621357.279578,690783.8,622083.8,69426.520422,726.520422000001
"123","paleo","Base",1551,620657.832308,690783.8,622083.8,70125.967692,1425.96769200001
"124","paleo","Base",1552,619746.784303,690783.8,622083.8,71037.015697,2337.015697
"125","paleo","Base",1553,620730.87421,690783.8,622083.8,70052.92579,1352.92578999999
"126","paleo","Base",1554,617765.0902,690783.8,622083.8,73018.7098,4318.7098
"127","paleo","Base",1555,620690.502275,690783.8,622083.8,70093.297725,1393.297725
"128","paleo","Base",1556,620274.622412,690783.8,622083.8,70509.177588,1809.17758800001
"129","paleo","Base",1557,620792.854513,690783.8,622083.8,69990.945487,1290.945487
"130","paleo","Base",1558,618282.761441,690783.8,622083.8,72501.038559,3801.03855900001
"131","paleo","Base",1559,619208.429122,690783.8,622083.8,71575.370878,2875.370878
"132","paleo","Base",1560,620265.190742,690783.8,622083.8,70518.609258,1818.609258
"133","paleo","Base",1561,621603.47078,690783.8,622083.8,69180.32922,480.32922
"134","paleo","Base",1562,620275.693798,690783.8,622083.8,70508.106202,1808.106202
"135","paleo","Base",1563,620703.759645,690783.8,622083.8,70080.040355,1380.040355
"136","paleo","Base",1564,622083.8,690783.8,622083.8,68700,0
"137","paleo","Base",1565,620141.604497,690783.8,622083.8,70642.195503,1942.195503
"138","paleo","Base",1566,619384.6494803,690783.8,622083.8,71399.1505197,2699.15051970001
"139","paleo","Base",1567,611430.8212975,690783.8,622083.8,79352.9787025,10652.9787025
"140","paleo","Base",1568,617865.0799998,690783.8,622083.8,72918.7200002,4218.72000020001
"141","paleo","Base",1569,615136.9654869,690783.8,622083.8,75646.8345131,6946.83451310001
"142","paleo","Base",1570,615243.7501555,690783.8,622083.8,75540.0498445,6840.0498445
"143","paleo","Base",1571,616153.6576473,690783.8,622083.8,74630.1423527,5930.1423527
"144","paleo","Base",1572,613517.2565519,690783.8,622083.8,77266.5434481,8566.5434481
"145","paleo","Base",1573,618558.6448602,690783.8,622083.8,72225.1551398,3525.1551398
"146","paleo","Base",1574,607053.304477,690783.8,622083.8,83730.495523,15030.495523
"147","paleo","Base",1575,609579.5687013,690783.8,622083.8,81204.2312987,12504.2312987
"148","paleo","Base",1576,615178.985587,690783.8,622083.8,75604.814413,6904.814413
"149","paleo","Base",1577,621246.933869,690783.8,622083.8,69536.866131,836.866131000002
"150","paleo","Base",1578,619309.429656,690783.8,622083.8,71474.370344,2774.370344
"151","paleo","Base",1579,612137.869998,690783.8,622083.8,78645.930002,9945.93000199999
"152","paleo","Base",1580,597031.3350319,690783.8,622083.8,93752.4649681,25052.4649681
"153","paleo","Base",1581,618645.3808141,690783.8,622083.8,72138.4191859,3438.4191859
"154","paleo","Base",1582,618091.228319,690783.8,622083.8,72692.571681,3992.571681
"155","paleo","Base",1583,617159.710985,690783.8,622083.8,73624.089015,4924.089015
"156","paleo","Base",1584,603018.09987,690783.8,622083.8,87765.70013,19065.70013
"157","paleo","Base",1585,592609.1039152,690783.8,622083.8,98174.6960848,29474.6960848
"158","paleo","Base",1586,616520.3321328,690783.8,622083.8,74263.4678672,5563.46786719999
"159","paleo","Base",1587,617808.7404,690783.8,622083.8,72975.0596,4275.05959999999
"160","paleo","Base",1588,613229.743543483,690783.8,622083.8,77554.056456517,8854.05645651701
"161","paleo","Base",1589,619682.4935945,690783.8,622083.8,71101.3064055,2401.30640550001
"162","paleo","Base",1590,605693.1822185,690783.8,622083.8,85090.6177815,16390.6177815
"163","paleo","Base",1591,610836.074937,690783.8,622083.8,79947.725063,11247.725063
"164","paleo","Base",1592,593033.0946677,690783.8,622083.8,97750.7053323,29050.7053323
"165","paleo","Base",1593,611962.6351358,690783.8,622083.8,78821.1648642,10121.1648642
"166","paleo","Base",1594,615030.8054428,690783.8,622083.8,75752.9945572,7052.99455719999
"167","paleo","Base",1595,618750.17503,690783.8,622083.8,72033.62497,3333.62496999999
"168","paleo","Base",1596,620884.57307,690783.8,622083.8,69899.22693,1199.22693
"169","paleo","Base",1597,618099.698625,690783.8,622083.8,72684.101375,3984.101375
"170","paleo","Base",1598,610875.8153761,690783.8,622083.8,79907.9846239,11207.9846239
"171","paleo","Base",1599,615676.377682,690783.8,622083.8,75107.422318,6407.422318
"172","paleo","Base",1600,599269.504858,690783.8,622083.8,91514.295142,22814.295142
"173","paleo","Base",1601,620433.337648,690783.8,622083.8,70350.462352,1650.462352
"174","paleo","Base",1602,619943.606622,690783.8,622083.8,70840.193378,2140.193378
"175","paleo","Base",1603,622083.8,690783.8,622083.8,68700,0
"176","paleo","Base",1604,621117.993386,690783.8,622083.8,69665.806614,965.806614000001
"177","paleo","Base",1605,621171.346868,690783.8,622083.8,69612.453132,912.453131999995
"178","paleo","Base",1606,620658.602407,690783.8,622083.8,70125.197593,1425.197593
"179","paleo","Base",1607,611473.2877087,690783.8,622083.8,79310.5122913,10610.5122913
"180","paleo","Base",1608,620255.243966,690783.8,622083.8,70528.556034,1828.55603399999
"181","paleo","Base",1609,620484.446924,690783.8,622083.8,70299.353076,1599.353076
"182","paleo","Base",1610,619985.568542,690783.8,622083.8,70798.231458,2098.23145799999
"183","paleo","Base",1611,622078.234989,690783.8,622083.8,68705.565011,5.56501099999878
"184","paleo","Base",1612,620277.929108,690783.8,622083.8,70505.870892,1805.87089200001
"185","paleo","Base",1613,616821.9384957,690783.8,622083.8,73961.8615043,5261.8615043
"186","paleo","Base",1614,622078.81073,690783.8,622083.8,68704.98927,4.98927000000549
"187","paleo","Base",1615,622078.594171,690783.8,622083.8,68705.205829,5.20582899999863
"188","paleo","Base",1616,621985.762402,690783.8,622083.8,68798.037598,98.0375979999953
"189","paleo","Base",1617,622077.059672,690783.8,622083.8,68706.740328,6.74032799999986
"190","paleo","Base",1618,622077.708806,690783.8,622083.8,68706.091194,6.09119399999327
"191","paleo","Base",1619,621207.384077,690783.8,622083.8,69576.415923,876.415922999993
"192","paleo","Base",1620,620350.8487,690783.8,622083.8,70432.9513,1732.9513
"193","paleo","Base",1621,621780.711274,690783.8,622083.8,69003.088726,303.088726000002
"194","paleo","Base",1622,609812.9426134,690783.8,622083.8,80970.8573866,12270.8573866
"195","paleo","Base",1623,620489.68007575,690783.8,622083.8,70294.11992425,1594.11992425
"196","paleo","Base",1624,613313.41008424,690783.8,622083.8,77470.38991576,8770.38991575999
"197","paleo","Base",1625,620809.93769633,690783.8,622083.8,69973.86230367,1273.86230367
"198","paleo","Base",1626,611281.7712488,690783.8,622083.8,79502.0287512,10802.0287512
"199","paleo","Base",1627,616501.1602668,690783.8,622083.8,74282.6397332,5582.63973320001
"200","paleo","Base",1628,619069.308763,690783.8,622083.8,71714.491237,3014.49123699999
"201","paleo","Base",1629,611570.2618548,690783.8,622083.8,79213.5381452,10513.5381452
"202","paleo","Base",1630,607764.530201,690783.8,622083.8,83019.269799,14319.269799
"203","paleo","Base",1631,591556.6376706,690783.8,622083.8,99227.1623294,30527.1623294
"204","paleo","Base",1632,511563.40003142,690783.8,622083.8,179220.39996858,110520.39996858
"205","paleo","Base",1633,619646.640608,690783.8,622083.8,71137.159392,2437.159392
"206","paleo","Base",1634,606039.72259,690783.8,622083.8,84744.07741,16044.07741
"207","paleo","Base",1635,600938.1809572,690783.8,622083.8,89845.6190428,21145.6190428
"208","paleo","Base",1636,601765.0757679,690783.8,622083.8,89018.7242321,20318.7242321
"209","paleo","Base",1637,562217.8086706,690783.8,622083.8,128565.9913294,59865.9913294
"210","paleo","Base",1638,526101.8014535,690783.8,622083.8,164681.9985465,95981.9985465
"211","paleo","Base",1639,564561.3058831,690783.8,622083.8,126222.4941169,57522.4941169
"212","paleo","Base",1640,620554.003608,690783.8,622083.8,70229.796392,1529.796392
"213","paleo","Base",1641,621288.674326,690783.8,622083.8,69495.125674,795.125673999995
"214","paleo","Base",1642,622083.8,690783.8,622083.8,68700,0
"215","paleo","Base",1643,620038.094052,690783.8,622083.8,70745.705948,2045.705948
"216","paleo","Base",1644,613054.457883,690783.8,622083.8,77729.342117,9029.34211699999
"217","paleo","Base",1645,598581.9382268,690783.8,622083.8,92201.8617732,23501.8617732
"218","paleo","Base",1646,598458.9478429,690783.8,622083.8,92324.8521571,23624.8521571
"219","paleo","Base",1647,617295.459195,690783.8,622083.8,73488.340805,4788.340805
"220","paleo","Base",1648,616026.268658,690783.8,622083.8,74757.531342,6057.531342
"221","paleo","Base",1649,617833.940317,690783.8,622083.8,72949.859683,4249.859683
"222","paleo","Base",1650,619218.020196,690783.8,622083.8,71565.779804,2865.77980399999
"223","paleo","Base",1651,616949.2949267,690783.8,622083.8,73834.5050733,5134.50507329999
"224","paleo","Base",1652,593866.4995985,690783.8,622083.8,96917.3004015,28217.3004015
"225","paleo","Base",1653,591875.3647486,690783.8,622083.8,98908.4352514,30208.4352514
"226","paleo","Base",1654,606171.8229541,690783.8,622083.8,84611.9770459,15911.9770459
"227","paleo","Base",1655,614460.6217854,690783.8,622083.8,76323.1782146,7623.17821460001
"228","paleo","Base",1656,611760.2093375,690783.8,622083.8,79023.5906625,10323.5906625
"229","paleo","Base",1657,610831.2362981,690783.8,622083.8,79952.5637019,11252.5637019
"230","paleo","Base",1658,613599.9931158,690783.8,622083.8,77183.8068842,8483.8068842
"231","paleo","Base",1659,601607.9575107,690783.8,622083.8,89175.8424893,20475.8424893
"232","paleo","Base",1660,602500.151546,690783.8,622083.8,88283.648454,19583.648454
"233","paleo","Base",1661,593806.2810918,690783.8,622083.8,96977.5189082,28277.5189082
"234","paleo","Base",1662,614589.6951984,690783.8,622083.8,76194.1048016,7494.1048016
"235","paleo","Base",1663,613197.4222752,690783.8,622083.8,77586.3777248,8886.3777248
"236","paleo","Base",1664,617517.8447148,690783.8,622083.8,73265.9552852,4565.9552852
"237","paleo","Base",1665,618192.5859593,690783.8,622083.8,72591.2140407,3891.2140407
"238","paleo","Base",1666,618249.695218,690783.8,622083.8,72534.104782,3834.10478199999
"239","paleo","Base",1667,604467.47771101,690783.8,622083.8,86316.32228899,17616.32228899
"240","paleo","Base",1668,617326.9817223,690783.8,622083.8,73456.8182777,4756.8182777
"241","paleo","Base",1669,610848.45561019,690783.8,622083.8,79935.34438981,11235.34438981
"242","paleo","Base",1670,603572.6821251,690783.8,622083.8,87211.1178749,18511.1178749
"243","paleo","Base",1671,605031.0037471,690783.8,622083.8,85752.7962529,17052.7962529
"244","paleo","Base",1672,618906.74415063,690783.8,622083.8,71877.05584937,3177.05584937
"245","paleo","Base",1673,620070.177862,690783.8,622083.8,70713.622138,2013.62213800001
"246","paleo","Base",1674,622083.8,690783.8,622083.8,68700,0
"247","paleo","Base",1675,620963.040604,690783.8,622083.8,69820.759396,1120.75939599999
"248","paleo","Base",1676,622083.8,690783.8,622083.8,68700,0
"249","paleo","Base",1677,620319.338927,690783.8,622083.8,70464.461073,1764.461073
"250","paleo","Base",1678,618057.041957,690783.8,622083.8,72726.758043,4026.75804299999
"251","paleo","Base",1679,619005.735945,690783.8,622083.8,71778.064055,3078.064055
"252","paleo","Base",1680,622083.8,690783.8,622083.8,68700,0
"253","paleo","Base",1681,618859.06178,690783.8,622083.8,71924.73822,3224.73822
"254","paleo","Base",1682,618880.668441,690783.8,622083.8,71903.131559,3203.131559
