"","date","month","year","wy","plot_date","current_res","data","response","trigger_category"
"1",1998-06-01,"6",1998,1998,1998-06-01,528965.0506,"base","Base","None"
"2",1998-07-01,"7",1998,1998,1998-07-01,528966.4175,"base","Base","None"
"3",1998-08-01,"8",1998,1998,1998-08-01,513780.856097,"base","Base","None"
"4",1998-09-01,"9",1998,1998,1998-09-01,449893.072053,"base","Base","None"
"5",1998-10-01,"10",1998,1999,1998-10-01,412888.572668,"base","Base","None"
"6",1998-11-01,"11",1998,1999,1998-11-01,428912.440963,"base","Base","None"
"7",1998-12-01,"12",1998,1999,1998-12-01,456158.771633,"base","Base","None"
"8",1999-01-01,"1",1999,1999,1999-01-01,477490.65342,"base","Base","None"
"9",1999-02-01,"2",1999,1999,1999-02-01,484649.59884,"base","Base","None"
"10",1999-03-01,"3",1999,1999,1999-03-01,489892.59884,"base","Base","None"
"11",1999-04-01,"4",1999,1999,1999-04-01,506528.90688,"base","Base","None"
"12",1999-05-01,"5",1999,1999,1999-05-01,528963.9322,"base","Base","None"
"13",1999-06-01,"6",1999,1999,1999-06-01,528965.0506,"base","Base","None"
"14",1999-07-01,"7",1999,1999,1999-07-01,528966.4175,"base","Base","None"
"15",1999-08-01,"8",1999,1999,1999-08-01,458762.32943,"base","Base","None"
"16",1999-09-01,"9",1999,1999,1999-09-01,386041.169562,"base","Base","None"
"17",1999-10-01,"10",1999,2000,1999-10-01,336290.306955,"base","Base","None"
"18",1999-11-01,"11",1999,2000,1999-11-01,349323.73263,"base","Base","None"
"19",1999-12-01,"12",1999,2000,1999-12-01,366702.77422,"base","Base","None"
"20",2000-01-01,"1",2000,2000,2000-01-01,388605.05662,"base","Base","None"
"21",2000-02-01,"2",2000,2000,2000-02-01,413850.40552,"base","Base","None"
"22",2000-03-01,"3",2000,2000,2000-03-01,436684.004456,"base","Base","None"
"23",2000-04-01,"4",2000,2000,2000-04-01,453374.633946,"base","Base","None"
"24",2000-05-01,"5",2000,2000,2000-05-01,489510.74902,"base","Base","None"
"25",2000-06-01,"6",2000,2000,2000-06-01,498039.46653,"base","Base","None"
"26",2000-07-01,"7",2000,2000,2000-07-01,424732.504602,"base","Base","None"
"27",2000-08-01,"8",2000,2000,2000-08-01,317576.230009,"base","Base","None"
"28",2000-09-01,"9",2000,2000,2000-09-01,229411.19433008,"base","Base","None"
"29",2000-10-01,"10",2000,2001,2000-10-01,176612.926287258,"base","Base","None"
"30",2000-11-01,"11",2000,2001,2000-11-01,179775.6234457,"base","Base","None"
"31",2000-12-01,"12",2000,2001,2000-12-01,197088.9363467,"base","Base","None"
"32",2001-01-01,"1",2001,2001,2001-01-01,219835.7067497,"base","Base","None"
"33",2001-02-01,"2",2001,2001,2001-02-01,240978.1386017,"base","Base","None"
"34",2001-03-01,"3",2001,2001,2001-03-01,261713.0302927,"base","Base","None"
"35",2001-04-01,"4",2001,2001,2001-04-01,329050.7609697,"base","Base","None"
"36",2001-05-01,"5",2001,2001,2001-05-01,401695.89724,"base","Base","None"
"37",2001-06-01,"6",2001,2001,2001-06-01,442652.445163,"base","Base","None"
"38",2001-07-01,"7",2001,2001,2001-07-01,363057.783055,"base","Base","None"
"39",2001-08-01,"8",2001,2001,2001-08-01,244194.18546077,"base","Base","None"
"40",2001-09-01,"9",2001,2001,2001-09-01,146171.023153236,"base","Base","None"
"41",2001-10-01,"10",2001,2002,2001-10-01,88400.7403551,"base","Base","None"
"42",2001-11-01,"11",2001,2002,2001-11-01,86592.11122199,"base","Base","None"
"43",2001-12-01,"12",2001,2002,2001-12-01,101279.778432,"base","Base","None"
"44",2002-01-01,"1",2002,2002,2002-01-01,122303.164295,"base","Base","None"
"45",2002-02-01,"2",2002,2002,2002-02-01,141933.08515,"base","Base","None"
"46",2002-03-01,"3",2002,2002,2002-03-01,160885.888908,"base","Base","None"
"47",2002-04-01,"4",2002,2002,2002-04-01,200685.913914,"base","Base","None"
"48",2002-05-01,"5",2002,2002,2002-05-01,316904.32852,"base","Base","None"
"49",2002-06-01,"6",2002,2002,2002-06-01,392084.422493,"base","Base","None"
"50",2002-07-01,"7",2002,2002,2002-07-01,354931.672133,"base","Base","None"
"51",2002-08-01,"8",2002,2002,2002-08-01,260159.073161,"base","Base","None"
"52",2002-09-01,"9",2002,2002,2002-09-01,169021.06320128,"base","Base","None"
"53",2002-10-01,"10",2002,2003,2002-10-01,120904.197037988,"base","Base","None"
"54",2002-11-01,"11",2002,2003,2002-11-01,123363.369193,"base","Base","None"
"55",2002-12-01,"12",2002,2003,2002-12-01,140553.768948,"base","Base","None"
"56",2003-01-01,"1",2003,2003,2003-01-01,162332.302438,"base","Base","None"
"57",2003-02-01,"2",2003,2003,2003-02-01,186911.201907,"base","Base","None"
"58",2003-03-01,"3",2003,2003,2003-03-01,210328.454899,"base","Base","None"
"59",2003-04-01,"4",2003,2003,2003-04-01,254273.824793,"base","Base","None"
"60",2003-05-01,"5",2003,2003,2003-05-01,327441.625161,"base","Base","None"
"61",2003-06-01,"6",2003,2003,2003-06-01,379709.151303,"base","Base","Moderate"
"62",2003-07-01,"7",2003,2003,2003-07-01,349011.37302,"base","Base","Moderate"
"63",2003-08-01,"8",2003,2003,2003-08-01,269612.633999,"base","Base","Moderate"
"64",2003-09-01,"9",2003,2003,2003-09-01,191339.10765128,"base","Base","Moderate"
"65",2003-10-01,"10",2003,2004,2003-10-01,140417.855388858,"base","Base","Moderate"
"66",2003-11-01,"11",2003,2004,2003-11-01,136857.51944,"base","Base","Moderate"
"67",2003-12-01,"12",2003,2004,2003-12-01,148517.958926,"base","Base","Moderate"
"68",2004-01-01,"1",2004,2004,2004-01-01,167022.948471,"base","Base","Moderate"
"69",2004-02-01,"2",2004,2004,2004-02-01,188060.255301,"base","Base","Moderate"
"70",2004-03-01,"3",2004,2004,2004-03-01,211136.378405,"base","Base","Moderate"
"71",2004-04-01,"4",2004,2004,2004-04-01,306906.212375,"base","Base","Moderate"
"72",2004-05-01,"5",2004,2004,2004-05-01,392590.505189,"base","Base","Moderate"
"73",2004-06-01,"6",2004,2004,2004-06-01,426615.64241,"base","Base","None"
"74",2004-07-01,"7",2004,2004,2004-07-01,380795.399955,"base","Base","None"
"75",2004-08-01,"8",2004,2004,2004-08-01,291212.153079,"base","Base","None"
"76",2004-09-01,"9",2004,2004,2004-09-01,215141.74676828,"base","Base","None"
"77",2004-10-01,"10",2004,2005,2004-10-01,162726.036756858,"base","Base","None"
"78",2004-11-01,"11",2004,2005,2004-11-01,173502.55725,"base","Base","None"
"79",2004-12-01,"12",2004,2005,2004-12-01,200955.930029,"base","Base","None"
"80",2005-01-01,"1",2005,2005,2005-01-01,236262.822649,"base","Base","None"
"81",2005-02-01,"2",2005,2005,2005-02-01,274617.613348,"base","Base","None"
"82",2005-03-01,"3",2005,2005,2005-03-01,307831.764651,"base","Base","None"
"83",2005-04-01,"4",2005,2005,2005-04-01,339390.127101,"base","Base","None"
"84",2005-05-01,"5",2005,2005,2005-05-01,423577.941338,"base","Base","None"
"85",2005-06-01,"6",2005,2005,2005-06-01,513869.341921,"base","Base","None"
"86",2005-07-01,"7",2005,2005,2005-07-01,518766.78142,"base","Base","None"
"87",2005-08-01,"8",2005,2005,2005-08-01,459992.195467,"base","Base","None"
"88",2005-09-01,"9",2005,2005,2005-09-01,386150.57983,"base","Base","None"
"89",2005-10-01,"10",2005,2006,2005-10-01,332009.206927,"base","Base","None"
"90",2005-11-01,"11",2005,2006,2005-11-01,347311.070162,"base","Base","None"
"91",2005-12-01,"12",2005,2006,2005-12-01,373360.772662,"base","Base","None"
"92",2006-01-01,"1",2006,2006,2006-01-01,388416.768962,"base","Base","None"
"93",2006-02-01,"2",2006,2006,2006-02-01,406931.609062,"base","Base","None"
"94",2006-03-01,"3",2006,2006,2006-03-01,417746.609062,"base","Base","None"
"95",2006-04-01,"4",2006,2006,2006-04-01,453314.313152,"base","Base","None"
"96",2006-05-01,"5",2006,2006,2006-05-01,524142.23656,"base","Base","None"
"97",2006-06-01,"6",2006,2006,2006-06-01,528965.0506,"base","Base","None"
"98",2006-07-01,"7",2006,2006,2006-07-01,525042.471239,"base","Base","None"
"99",2006-08-01,"8",2006,2006,2006-08-01,438156.619967,"base","Base","None"
"100",2006-09-01,"9",2006,2006,2006-09-01,353763.310426,"base","Base","None"
"101",2006-10-01,"10",2006,2007,2006-10-01,314544.176973926,"base","Base","None"
"102",2006-11-01,"11",2006,2007,2006-11-01,330735.706931,"base","Base","None"
"103",2006-12-01,"12",2006,2007,2006-12-01,351234.049996,"base","Base","None"
"104",2007-01-01,"1",2007,2007,2007-01-01,372849.015096,"base","Base","None"
"105",2007-02-01,"2",2007,2007,2007-02-01,391854.545496,"base","Base","None"
"106",2007-03-01,"3",2007,2007,2007-03-01,413593.994016,"base","Base","None"
"107",2007-04-01,"4",2007,2007,2007-04-01,456783.510947,"base","Base","None"
"108",2007-05-01,"5",2007,2007,2007-05-01,503289.57246,"base","Base","None"
"109",2007-06-01,"6",2007,2007,2007-06-01,510202.59224,"base","Base","None"
"110",2007-07-01,"7",2007,2007,2007-07-01,445184.752092,"base","Base","None"
"111",2007-08-01,"8",2007,2007,2007-08-01,351472.0369509,"base","Base","None"
"112",2007-09-01,"9",2007,2007,2007-09-01,268870.65676028,"base","Base","None"
"113",2007-10-01,"10",2007,2008,2007-10-01,218258.801081988,"base","Base","None"
"114",2007-11-01,"11",2007,2008,2007-11-01,224926.2551192,"base","Base","None"
"115",2007-12-01,"12",2007,2008,2007-12-01,239194.6589952,"base","Base","None"
"116",2008-01-01,"1",2008,2008,2008-01-01,256934.0076752,"base","Base","None"
"117",1632-06-01,"6",1632,1632,1998-06-01,257396.129311,"paleo","Base","Extreme"
"118",1632-07-01,"7",1632,1632,1998-07-01,185935.7491603,"paleo","Base","Extreme"
"119",1632-08-01,"8",1632,1632,1998-08-01,92040.46894477,"paleo","Base","Extreme"
"120",1632-09-01,"9",1632,1632,1998-09-01,1351.996205236,"paleo","Base","Extreme"
"121",1632-10-01,"10",1632,1633,1998-10-01,-2229.58835958,"paleo","Base","Extreme"
"122",1632-11-01,"11",1632,1633,1998-11-01,-1726.3376861,"paleo","Base","Extreme"
"123",1632-12-01,"12",1632,1633,1998-12-01,15120.8998274,"paleo","Base","Extreme"
"124",1633-01-01,"1",1633,1633,1999-01-01,33565.2783794,"paleo","Base","Extreme"
"125",1633-02-01,"2",1633,1633,1999-02-01,52803.6233604,"paleo","Base","Extreme"
"126",1633-03-01,"3",1633,1633,1999-03-01,75049.9622074,"paleo","Base","Extreme"
"127",1633-04-01,"4",1633,1633,1999-04-01,128718.2301692,"paleo","Base","Extreme"
"128",1633-05-01,"5",1633,1633,1999-05-01,263153.445118,"paleo","Base","Extreme"
"129",1633-06-01,"6",1633,1633,1999-06-01,416334.982363,"paleo","Base","None"
"130",1633-07-01,"7",1633,1633,1999-07-01,480172.15761,"paleo","Base","None"
"131",1633-08-01,"8",1633,1633,1999-08-01,426404.28761,"paleo","Base","None"
"132",1633-09-01,"9",1633,1633,1999-09-01,354463.639791,"paleo","Base","None"
"133",1633-10-01,"10",1633,1634,1999-10-01,307605.123933,"paleo","Base","None"
"134",1633-11-01,"11",1633,1634,1999-11-01,303369.83080095,"paleo","Base","None"
"135",1633-12-01,"12",1633,1634,1999-12-01,318476.611532,"paleo","Base","None"
"136",1634-01-01,"1",1634,1634,2000-01-01,338428.35777,"paleo","Base","None"
"137",1634-02-01,"2",1634,1634,2000-02-01,365062.205539,"paleo","Base","None"
"138",1634-03-01,"3",1634,1634,2000-02-29,389002.052335,"paleo","Base","None"
"139",1634-04-01,"4",1634,1634,2000-03-31,413780.028695,"paleo","Base","None"
"140",1634-05-01,"5",1634,1634,2000-04-30,450632.89652,"paleo","Base","None"
"141",1634-06-01,"6",1634,1634,2000-05-31,438480.70901,"paleo","Base","None"
"142",1634-07-01,"7",1634,1634,2000-06-30,403432.803267,"paleo","Base","None"
"143",1634-08-01,"8",1634,1634,2000-07-31,311896.943261,"paleo","Base","None"
"144",1634-09-01,"9",1634,1634,2000-08-31,226977.331297,"paleo","Base","None"
"145",1634-10-01,"10",1634,1635,2000-09-30,175276.3112895,"paleo","Base","None"
"146",1634-11-01,"11",1634,1635,2000-10-31,167836.52437398,"paleo","Base","None"
"147",1634-12-01,"12",1634,1635,2000-11-30,182952.391777,"paleo","Base","None"
"148",1635-01-01,"1",1635,1635,2000-12-31,200319.530088,"paleo","Base","None"
"149",1635-02-01,"2",1635,1635,2001-01-31,218453.571852,"paleo","Base","None"
"150",1635-03-01,"3",1635,1635,2001-02-28,238390.669355,"paleo","Base","None"
"151",1635-04-01,"4",1635,1635,2001-03-31,282494.330047,"paleo","Base","None"
"152",1635-05-01,"5",1635,1635,2001-04-30,374002.956583,"paleo","Base","None"
"153",1635-06-01,"6",1635,1635,2001-05-31,360167.204901,"paleo","Base","Moderate"
"154",1635-07-01,"7",1635,1635,2001-06-30,312691.153502,"paleo","Base","Moderate"
"155",1635-08-01,"8",1635,1635,2001-07-31,213563.964836,"paleo","Base","Moderate"
"156",1635-09-01,"9",1635,1635,2001-08-31,121784.3642149,"paleo","Base","Moderate"
"157",1635-10-01,"10",1635,1636,2001-09-30,71195.4990492,"paleo","Base","Moderate"
"158",1635-11-01,"11",1635,1636,2001-10-31,63623.31138589,"paleo","Base","Moderate"
"159",1635-12-01,"12",1635,1636,2001-11-30,79029.8540365,"paleo","Base","Moderate"
"160",1636-01-01,"1",1636,1636,2001-12-31,95895.9200835,"paleo","Base","Moderate"
"161",1636-02-01,"2",1636,1636,2002-01-31,113448.3183855,"paleo","Base","Moderate"
"162",1636-03-01,"3",1636,1636,2002-03-01,133542.3011005,"paleo","Base","Moderate"
"163",1636-04-01,"4",1636,1636,2002-04-01,179021.4809975,"paleo","Base","Moderate"
"164",1636-05-01,"5",1636,1636,2002-05-01,273274.191952,"paleo","Base","Moderate"
"165",1636-06-01,"6",1636,1636,2002-06-01,291554.856283,"paleo","Base","Severe"
"166",1636-07-01,"7",1636,1636,2002-07-01,266984.597634,"paleo","Base","Severe"
"167",1636-08-01,"8",1636,1636,2002-08-01,177233.877307,"paleo","Base","Severe"
"168",1636-09-01,"9",1636,1636,2002-09-01,91628.907392,"paleo","Base","Severe"
"169",1636-10-01,"10",1636,1637,2002-10-01,43264.288773526,"paleo","Base","Severe"
"170",1636-11-01,"11",1636,1637,2002-11-01,38918.56193898,"paleo","Base","Severe"
"171",1636-12-01,"12",1636,1637,2002-12-01,54816.834773,"paleo","Base","Severe"
"172",1637-01-01,"1",1637,1637,2003-01-01,73118.933884,"paleo","Base","Severe"
"173",1637-02-01,"2",1637,1637,2003-02-01,92553.278016,"paleo","Base","Severe"
"174",1637-03-01,"3",1637,1637,2003-03-01,113000.220842,"paleo","Base","Severe"
"175",1637-04-01,"4",1637,1637,2003-04-01,160592.644616,"paleo","Base","Severe"
"176",1637-05-01,"5",1637,1637,2003-05-01,250982.405787,"paleo","Base","Severe"
"177",1637-06-01,"6",1637,1637,2003-06-01,246929.990447,"paleo","Base","Extreme"
"178",1637-07-01,"7",1637,1637,2003-07-01,203918.398805,"paleo","Base","Extreme"
"179",1637-08-01,"8",1637,1637,2003-08-01,104395.69159,"paleo","Base","Extreme"
"180",1637-09-01,"9",1637,1637,2003-09-01,24360.98044558,"paleo","Base","Extreme"
"181",1637-10-01,"10",1637,1638,2003-10-01,-5909.785750592,"paleo","Base","Extreme"
"182",1637-11-01,"11",1637,1638,2003-11-01,-5508.6240401,"paleo","Base","Extreme"
"183",1637-12-01,"12",1637,1638,2003-12-01,11627.09534,"paleo","Base","Extreme"
"184",1638-01-01,"1",1638,1638,2004-01-01,29746.45586,"paleo","Base","Extreme"
"185",1638-02-01,"2",1638,1638,2004-02-01,45849.630053,"paleo","Base","Extreme"
"186",1638-03-01,"3",1638,1638,2004-02-29,67725.384098,"paleo","Base","Extreme"
"187",1638-04-01,"4",1638,1638,2004-03-31,111934.685925,"paleo","Base","Extreme"
"188",1638-05-01,"5",1638,1638,2004-04-30,200926.794011,"paleo","Base","Extreme"
"189",1638-06-01,"6",1638,1638,2004-05-31,191632.024141,"paleo","Base","Extreme"
"190",1638-07-01,"7",1638,1638,2004-06-30,156597.985424,"paleo","Base","Extreme"
"191",1638-08-01,"8",1638,1638,2004-07-31,70003.374813,"paleo","Base","Extreme"
"192",1638-09-01,"9",1638,1638,2004-08-31,881.86864728,"paleo","Base","Extreme"
"193",1638-10-01,"10",1638,1639,2004-09-30,-7138.439398712,"paleo","Base","Extreme"
"194",1638-11-01,"11",1638,1639,2004-10-31,-6720.91416751,"paleo","Base","Extreme"
"195",1638-12-01,"12",1638,1639,2004-11-30,10583.8404836,"paleo","Base","Extreme"
"196",1639-01-01,"1",1639,1639,2004-12-31,28112.7279406,"paleo","Base","Extreme"
"197",1639-02-01,"2",1639,1639,2005-01-31,46004.5868056,"paleo","Base","Extreme"
"198",1639-03-01,"3",1639,1639,2005-02-28,66954.3889876,"paleo","Base","Extreme"
"199",1639-04-01,"4",1639,1639,2005-03-31,111432.8778126,"paleo","Base","Extreme"
"200",1639-05-01,"5",1639,1639,2005-04-30,197186.933729,"paleo","Base","Extreme"
"201",1639-06-01,"6",1639,1639,2005-05-31,192405.38947,"paleo","Base","Extreme"
"202",1639-07-01,"7",1639,1639,2005-06-30,183639.464002,"paleo","Base","Extreme"
"203",1639-08-01,"8",1639,1639,2005-07-31,102300.681127,"paleo","Base","Extreme"
"204",1639-09-01,"9",1639,1639,2005-08-31,27081.67937828,"paleo","Base","Extreme"
"205",1639-10-01,"10",1639,1640,2005-09-30,202.689474588,"paleo","Base","Extreme"
"206",1639-11-01,"11",1639,1640,2005-10-31,1188.09963298,"paleo","Base","Extreme"
"207",1639-12-01,"12",1639,1640,2005-11-30,18232.755017,"paleo","Base","Extreme"
"208",1640-01-01,"1",1640,1640,2005-12-31,36868.116676,"paleo","Base","Extreme"
"209",1640-02-01,"2",1640,1640,2006-01-31,57100.487783,"paleo","Base","Extreme"
"210",1640-03-01,"3",1640,1640,2006-03-01,79506.165424,"paleo","Base","Extreme"
"211",1640-04-01,"4",1640,1640,2006-04-01,132720.369878,"paleo","Base","Extreme"
"212",1640-05-01,"5",1640,1640,2006-05-01,253425.106773,"paleo","Base","Extreme"
"213",1640-06-01,"6",1640,1640,2006-06-01,442590.69792,"paleo","Base","None"
"214",1640-07-01,"7",1640,1640,2006-07-01,490473.66766,"paleo","Base","None"
"215",1640-08-01,"8",1640,1640,2006-08-01,446856.0185,"paleo","Base","None"
"216",1640-09-01,"9",1640,1640,2006-09-01,378594.065256,"paleo","Base","None"
"217",1640-10-01,"10",1640,1641,2006-10-01,339908.02253,"paleo","Base","None"
"218",1640-11-01,"11",1640,1641,2006-11-01,340275.411148,"paleo","Base","None"
"219",1640-12-01,"12",1640,1641,2006-12-01,355297.741523,"paleo","Base","None"
"220",1641-01-01,"1",1641,1641,2007-01-01,375487.660034,"paleo","Base","None"
"221",1641-02-01,"2",1641,1641,2007-02-01,405740.120257,"paleo","Base","None"
"222",1641-03-01,"3",1641,1641,2007-03-01,420974.522346,"paleo","Base","None"
"223",1641-04-01,"4",1641,1641,2007-04-01,444212.32429,"paleo","Base","None"
"224",1641-05-01,"5",1641,1641,2007-05-01,483170.84558,"paleo","Base","None"
"225",1641-06-01,"6",1641,1641,2007-06-01,527135.6472,"paleo","Base","None"
"226",1641-07-01,"7",1641,1641,2007-07-01,528966.4175,"paleo","Base","None"
"227",1641-08-01,"8",1641,1641,2007-08-01,485198.347616,"paleo","Base","None"
"228",1641-09-01,"9",1641,1641,2007-09-01,426302.126822,"paleo","Base","None"
"229",1641-10-01,"10",1641,1642,2007-10-01,399314.9351,"paleo","Base","None"
"230",1641-11-01,"11",1641,1642,2007-11-01,393094.518264,"paleo","Base","None"
"231",1641-12-01,"12",1641,1642,2007-12-01,408091.010752,"paleo","Base","None"
"232",1642-01-01,"1",1642,1642,2008-01-01,426099.258263,"paleo","Base","None"
